YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-10,WEEKENDS/HOLIDAY,5,TRAIN,EW18,322,34
2025-10,WEEKENDS/HOLIDAY,10,TRAIN,TE26,5631,8663
2025-10,WEEKDAY,14,TRAIN,NS23,40453,46216
2025-10,WEEKENDS/HOLIDAY,22,TRAIN,EW20,1689,4869
2025-10,WEEKENDS/HOLIDAY,15,TRAIN,BP12,1023,913
2025-10,WEEKENDS/HOLIDAY,17,TRAIN,EW16/NE3/TE17,14460,10487
2025-10,WEEKDAY,12,TRAIN,NS3,20440,15425
2025-10,WEEKDAY,18,TRAIN,CC3,33459,16137
2025-10,WEEKDAY,11,TRAIN,NE17/PTC,42275,34868
2025-10,WEEKDAY,10,TRAIN,CG1/DT35,3721,32231
2025-10,WEEKDAY,16,TRAIN,BP5,2683,2256
2025-10,WEEKENDS/HOLIDAY,8,TRAIN,EW30,1204,2841
2025-10,WEEKENDS/HOLIDAY,13,TRAIN,DT31,4090,3305
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,CC2,40,183
2025-10,WEEKDAY,21,TRAIN,EW29,11890,5280
2025-10,WEEKENDS/HOLIDAY,14,TRAIN,EW29,5069,4064
2025-10,WEEKENDS/HOLIDAY,10,TRAIN,BP9,1763,1286
2025-10,WEEKDAY,20,TRAIN,TE6,5110,21253
2025-10,WEEKDAY,16,TRAIN,BP3,3384,4494
2025-10,WEEKDAY,18,TRAIN,CC25,26874,14309
2025-10,WEEKENDS/HOLIDAY,5,TRAIN,EW27,3377,403
2025-10,WEEKDAY,22,TRAIN,EW2/DT32,24831,49110
2025-10,WEEKDAY,19,TRAIN,CC24,55859,12175
2025-10,WEEKDAY,13,TRAIN,NE5,12729,15515
2025-10,WEEKDAY,12,TRAIN,EW9,21412,16883
2025-10,WEEKDAY,13,TRAIN,CC21,16835,10712
2025-10,WEEKENDS/HOLIDAY,13,TRAIN,PE4,951,892
2025-10,WEEKENDS/HOLIDAY,23,TRAIN,NS8,2374,4251
2025-10,WEEKENDS/HOLIDAY,6,TRAIN,CC19/DT9,386,1069
2025-10,WEEKENDS/HOLIDAY,7,TRAIN,NS24/NE6/CC1,2028,5936
2025-10,WEEKENDS/HOLIDAY,11,TRAIN,NS3,11939,6984
2025-10,WEEKDAY,5,TRAIN,TE16,377,57
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,CC3,1020,153
2025-10,WEEKDAY,13,TRAIN,CG1/DT35,12608,16504
2025-10,WEEKDAY,19,TRAIN,NS24/NE6/CC1,69159,51036
2025-10,WEEKENDS/HOLIDAY,14,TRAIN,BP10,1300,1404
2025-10,WEEKENDS/HOLIDAY,8,TRAIN,NS2,11906,8810
2025-10,WEEKDAY,19,TRAIN,EW20,19650,23434
2025-10,WEEKENDS/HOLIDAY,15,TRAIN,EW22,2530,2442
2025-10,WEEKDAY,17,TRAIN,EW21/CC22,100600,32859
2025-10,WEEKDAY,5,TRAIN,CC5,1029,20
2025-10,WEEKDAY,5,TRAIN,EW15,1078,768
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,NS11,412,4372
2025-10,WEEKENDS/HOLIDAY,5,TRAIN,TE27,113,3
2025-10,WEEKENDS/HOLIDAY,12,TRAIN,BP10,1724,1159
2025-10,WEEKDAY,15,TRAIN,NE12/CC13,54498,64886
2025-10,WEEKDAY,7,TRAIN,SW7,8921,3584
2025-10,WEEKDAY,14,TRAIN,EW19,12673,16390
2025-10,WEEKENDS/HOLIDAY,16,TRAIN,DT34,2105,1739
2025-10,WEEKDAY,14,TRAIN,NS21/DT11,53675,60373
2025-10,WEEKDAY,0,TRAIN,NS20,160,688
2025-10,WEEKDAY,22,TRAIN,NS11,12586,51646
2025-10,WEEKENDS/HOLIDAY,21,TRAIN,DT34,842,2441
2025-10,WEEKDAY,13,TRAIN,DT28,7957,8422
2025-10,WEEKDAY,18,TRAIN,EW30,21215,3496
2025-10,WEEKENDS/HOLIDAY,15,TRAIN,BP7,404,438
2025-10,WEEKDAY,20,TRAIN,PW6,524,2372
2025-10,WEEKDAY,22,TRAIN,DT33,3805,25308
2025-10,WEEKENDS/HOLIDAY,16,TRAIN,TE4,2653,2008
2025-10,WEEKDAY,23,TRAIN,CC14,586,1900
2025-10,WEEKDAY,12,TRAIN,SW1,4609,5404
2025-10,WEEKDAY,11,TRAIN,EW18,17024,12789
2025-10,WEEKDAY,18,TRAIN,DT34,16376,12530
2025-10,WEEKDAY,19,TRAIN,PW7,4056,7343
2025-10,WEEKDAY,9,TRAIN,PW4,5615,3322
2025-10,WEEKENDS/HOLIDAY,23,TRAIN,EW7,738,4160
2025-10,WEEKENDS/HOLIDAY,6,TRAIN,EW25,4362,1243
2025-10,WEEKENDS/HOLIDAY,16,TRAIN,NS28,4306,2454
2025-10,WEEKDAY,14,TRAIN,EW27,36119,40791
2025-10,WEEKDAY,13,TRAIN,DT17,14379,46864
2025-10,WEEKDAY,12,TRAIN,PW3,822,647
2025-10,WEEKDAY,15,TRAIN,DT2,4770,2462
2025-10,WEEKENDS/HOLIDAY,5,TRAIN,EW11,391,50
2025-10,WEEKENDS/HOLIDAY,9,TRAIN,DT17,1010,2889
2025-10,WEEKENDS/HOLIDAY,21,TRAIN,NE4/DT19,28460,12263
2025-10,WEEKENDS/HOLIDAY,10,TRAIN,BP12,1498,740
2025-10,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,9521,11250
2025-10,WEEKDAY,19,TRAIN,CC14,9115,15000
2025-10,WEEKDAY,8,TRAIN,PE5,19735,3256
2025-10,WEEKDAY,21,TRAIN,CC20,2862,5212
2025-10,WEEKENDS/HOLIDAY,7,TRAIN,SW7,1031,354
2025-10,WEEKDAY,8,TRAIN,CE1/DT16,11737,51264
2025-10,WEEKDAY,18,TRAIN,PW4,5798,12184
2025-10,WEEKENDS/HOLIDAY,7,TRAIN,EW15,1940,7058
2025-10,WEEKENDS/HOLIDAY,22,TRAIN,NE7/DT12,16774,6763
2025-10,WEEKDAY,15,TRAIN,EW18,15011,16566
2025-10,WEEKENDS/HOLIDAY,22,TRAIN,DT10,809,1184
2025-10,WEEKENDS/HOLIDAY,8,TRAIN,NS4/BP1,16264,10695
2025-10,WEEKENDS/HOLIDAY,7,TRAIN,NE10,3969,3152
2025-10,WEEKENDS/HOLIDAY,9,TRAIN,EW3,9453,4572
2025-10,WEEKDAY,16,TRAIN,EW19,18031,19173
2025-10,WEEKDAY,10,TRAIN,TE28,4822,2285
2025-10,WEEKDAY,18,TRAIN,EW10,21267,38307
2025-10,WEEKDAY,19,TRAIN,NE9,39812,42193
2025-10,WEEKDAY,18,TRAIN,CC19/DT9,17908,15210
2025-10,WEEKDAY,8,TRAIN,PW2,101,373
2025-10,WEEKDAY,12,TRAIN,TE7,7047,5198
2025-10,WEEKDAY,19,TRAIN,BP9,2006,5225
2025-10,WEEKDAY,22,TRAIN,EW24/NS1,54626,26420
2025-10,WEEKENDS/HOLIDAY,21,TRAIN,EW4,2646,7864
2025-10,WEEKDAY,20,TRAIN,EW27,43962,79732
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,PW5,14,449
2025-10,WEEKENDS/HOLIDAY,16,TRAIN,TE24,1545,2076
2025-10,WEEKDAY,9,TRAIN,CC5,3706,13870
2025-10,WEEKDAY,22,TRAIN,CG1/DT35,13501,2448
2025-10,WEEKDAY,10,TRAIN,NS11,40198,18184
